,latitude,longitude,lrimoshipno
0,-5.096188068,119.37012479999999,7052088
1,45.83269882,-84.64900208,7105495
2,45.50458527,36.60578156,7116781
3,43.13317871,-79.19232941,7128423
4,45.09249878,36.55810165,7361520
6,46.58000183,31.05509949,7419200
7,29.97814178,122.17754359999999,7510030
8,46.94371033,32.01530838,7531369
9,46.36736679,48.01328278,7611212
10,47.12260056,39.39860153,7611212
12,46.85189819,31.98077202,7720702
13,47.21729279,39.73382187,7740570
14,40.23734665,49.88074493,7740570
15,37.475498200000004,49.46360016,7740570
16,47.04489899,38.86830139,7740570
17,25.493200299999998,52.01210022,7805370
18,-6.828211784,112.8037415,7810753
19,-7.819330215,114.59899899999999,7810753
20,-5.113536835,119.2537155,7812969
21,30.000259399999997,-90.46751404,7821154
22,29.700399400000002,-89.97859955,7821154
24,47.02059937,38.63769913,7830894
25,28.4018364,121.67181399999998,7852141
27,41.73429871,-87.51439667,7901148
29,42.73466492,133.0708313,7906966
30,-3.580640078,114.4860001,7911571
31,-4.353157997,117.17948909999998,7911571
32,30.11278725,-88.58312225,7915412
34,22.54646301,-97.75691986,7915412
35,20.59212494,-87.07431793,7915412
0,29.93276978,-89.98490906,9700005
1,29.96601677,-90.27738953,9700005
2,9.453660011,-79.94259644,9700005
3,-32.68030167,-60.71049881,9700005
4,-20.29240036,-40.23260117,9700005
5,46.10369873,-122.95099640000001,9700017
6,31.67539978,121.1800003,9700043
7,31.81407738,120.94548030000001,9700043
8,-28.88080025,32.18379974,9700055
9,22.29297256,91.73522949,9700122
10,35.11380005,119.4209976,9700835
11,-28.79240036,32.03680038,9700847
12,49.28929901,-123.0680008,9700859
13,-24.14657593,-46.32687378,9700859
14,10.59801769,107.0234909,9700861
15,40.24708176,122.09234620000001,9700861
16,22.57139969,120.3040009,9701035
17,-2.5747900009999998,-44.37149811,9701152
18,-29.8817997,31.00469971,9701205
19,30.00720024,-90.83049774,9702508
20,32.20437622,119.66484070000001,9703588
21,38.98242188,117.7461166,9703588
22,-33.04769897,-60.57300186,9703813
23,-23.88029289,151.5712585,9705299
24,29.74168205,-95.19606781,9706334
25,28.82917786,-89.33875275,9706530
26,35.36240005,119.5339966,9708643
27,-25.50181389,-48.50849152,9708904
28,-25.70981789,-48.20570374,9710505
29,45.60089874,-122.77400209999999,9710517
30,55.71599579,21.11355019,9710579
31,13.15752697,100.88320920000001,9711901
32,3.889499903,-77.06079865,9713179
33,44.15769196,28.65351677,9713210
34,-6.016256809,105.95405579999999,9713947
35,-35.17890167,-55.58530045,9713947
36,36.68121719,36.19678879,9713947
37,38.99314879999999,118.45503229999998,9718038
38,39.20840073,118.99199679999998,9718143
39,34.90743637,127.7309723,9721437
40,-0.239167005,117.5718689,9721554
41,25.97480011,56.05009842,9724764
42,-35.17240143,-55.28071594,9724996
44,32.00245667,120.822197,9726035
45,31.49320221,121.3890915,9726059
46,19.20368576,-96.13467407,9726425
47,-32.08154678,-52.09585953,9728162
48,38.76269913,26.92219925,9728174
49,-20.74469948,-70.19090271,9729477
50,-20.32089996,118.5810013,9730397
51,31.20303726,122.5776215,9731602
52,32.22567749,119.895195,9734719
53,46.57319641,31.22302055,9734757
55,46.40430069,31.07060051,9737113
57,31.34980965,121.51374820000001,9738375
58,8.842180252,-79.52480316,9738454
59,24.91629982,51.57640076,9738454
60,46.50830078,30.731700899999996,9738466
61,37.64966965,120.30286409999998,9738507
62,8.752543449,78.21268463,9738519
63,40.17139816,121.4560013,9738868
64,29.837209700000002,-89.99440002,9739032
65,-23.94829941,-46.31190109,9739082
67,26.16002655,50.67146683,9739563
68,21.55060005,108.35199740000002,9741762
70,30.14319992,122.15299990000001,9744752
71,51.90941238,4.413499832,9744752
73,-29.77519989,31.17959976,9746023
74,31.96999931,120.4339981,9746023
