latitude,longitude,lrimoshipno
38.98653412,117.7353363,9450143
40.24900055,122.0950012,9450143
29.95949936,-90.29850006,9450155
-24.12125969,-46.33219528,9450650
35.35638046,119.5340347,9451173
22.55889511,120.3285446,9452646
39.20754623,118.9885254,9453535
49.30419922,-123.0559998,9453535
42.76050186,132.9810028,9453535
-6.016499996,105.9540024,9454656
38.97909927,118.4690018,9454656
20.27726746,86.67385101,9455375
10.56200027,107.0156708,9456159
-28.81313133,32.0513649,9457555
-25.67020035,-48.22819901,9457866
-25.50166702,-48.50816727,9457866
35.1169014,119.4199982,9462471
13.13078308,100.837883,9464168
34.90370941,127.7513351,9465198
-23.94223213,-46.31293106,9465708
46.34410095,30.63890076,9467550
37.64858627,120.3031464,9468358
22.27249908,91.70749664,9470313
-7.201550007,112.7219467,9471276
31.69599915,121.1409988,9473341
-28.96572685,32.16523743,9474254
-25.96092033,32.50364304,9476666
-20.3212719,-40.14893723,9476678
-33.96316147,25.63640594,9478793
23.08368111,113.4785004,9482691
40.73210144,29.50460052,9484704
-29.87849998,31.03269958,9486049
45.15729904,36.54259872,9486257
-3.70085001,114.4300003,9487225
20.16207504,86.76455688,9487225
29.93670464,121.8834457,9488009
31.96508408,120.36689,9492763
46.6556015,31.01239967,9493640
51.89227295,4.272685051,9494747
46.32229996,31.09269905,9494814
21.5510006,108.3519974,9496238
-32.63399887,-60.74399948,9496238
-33.02109909,-60.58620071,9496238
46.49330139,30.74300003,9496276
21.73220062,108.5790024,9496276
3.029700041,101.3571167,9497165
14.6906004,-17.43029976,9497440
24.95030022,51.59069824,9497440
27.07780075,49.67808151,9497440
-35.14999771,-55.30783844,9497452
25.21178627,56.57786179,9497476
29.91887283,-90.07963562,9497505
45.56959534,-73.50837708,9498224
-20.30881119,-40.17782593,9498298
24.27129173,120.5253983,9498303
32.16730118,118.8539963,9498432
-32.34529877,-51.82799911,9498432
-0.247366995,117.5930023,9498559
46.04384995,-122.87677,9498626
35.88830185,140.6838226,9498626
22.21659279,114.1009064,9498810
29.73970032,-95.27947998,9499436
22.25519371,91.72931671,9499436
23.00426865,70.22375488,9499448
21.02070045,72.64859772,9499450
