latitude,longitude,lrimoshipno
35.09484863,119.3679886,9750000
31.6914959,121.148674,9750000
32.14198685,119.9094772,9750036
13.13022518,100.876915,9750036
-28.89929962,32.22449875,9750036
-28.82119942,32.04629898,9750036
30.04491615,-90.83761597,9750036
29.9239502,-89.93577576,9750036
29.99707985,-90.43608856,9750036
-25.49979973,-48.54460144,9750309
54.5292511,18.5518074,9750309
28.85011482,-89.38104248,9750309
22.55900002,120.3239975,9750311
-33.01366043,-60.59332275,9750311
42.81147003,132.8895874,9750490
39.21183777,119.0263443,9750816
31.9810009,120.8470001,9750828
46.56917953,31.10128784,9750983
44.1595993,28.64789963,9751224
-32.68670273,-60.70668411,9751224
38.95191193,117.849617,9753583
9.352999687,-79.91249847,9754082
-20.39539909,-40.19900131,9754082
-33.5888176,-71.61724091,9754082
-35.1717186,-55.55299377,9754082
-23.94540024,-46.31230164,9754094
49.29199982,-123.0319977,9754991
35.04230118,136.878006,9755672
35.96018982,140.7635803,9756054
21.55068779,108.3518982,9756224
22.98124123,113.54245,9756626
35.47920609,139.741272,9757917
35.58248138,140.104599,9757917
29.94144058,-90.31085968,9757929
8.843774796,-79.51867676,9757929
-33.32239914,115.6660004,9757931
45.68619919,-122.7720032,9757943
-7.201538086,112.7219238,9758868
-20.29030037,-40.24330139,9760079
32.18548203,119.5802383,9760093
-24.18359947,-46.32249832,9760108
10.57101536,107.0217133,9760108
35.51496124,129.3861389,9760354
24.51154137,67.01289368,9762376
30.05340195,-90.58448029,9764104
-35.83440018,174.4900055,9764960
3.8942101,-77.06758881,9765598
-32.25252151,-51.94865036,9765603
54.22692871,-130.3379669,9766956
33.26379,131.6649,9767041
-12.01749992,-77.1914978,9767778
-28.93029976,32.15179825,9768019
46.04469681,-122.8824844,9768227
1.279557943,103.9223175,9770684
34.19777298,132.6156921,9772802
33.8045845,131.1610107,9774379
38.91915512,118.1892242,9774496
5.631793022,0.010555,9774848
36.96244812,126.8385468,9774850
34.6289978,135.4076843,9775165
34.95800018,136.6419983,9781803
33.0630455,129.653595,9781956
33.12950134,-8.626942635,9781968
-20.08004761,118.6182327,9783318
20.27922249,86.67150116,9784374
-32.67796707,-60.71326065,9784374
-25.67298889,-48.2613678,9784374
33.75904846,-118.2683182,9785122
31.76639938,120.9449997,9785122
-34.75293732,138.3057098,9785122
34.05420303,131.7932739,9785122
-34.46847153,150.9042206,9785122
20.25694084,86.8269577,9785122
-23.86697006,151.6104126,9785122
-33.90300751,-58.88508987,9785134
31.80762291,120.924324,9785964
38.99727631,118.4551849,9786035
39.91953278,119.6767349,9786035
34.9049263,127.74543,9786035
-33.13648224,151.7290955,9786059
29.2062645,-89.27676392,9788100
33.94305801,131.5822601,9789568
-38.67982864,-58.61164093,9789855
-2.420793056,-44.266716,9789879
33.85710144,132.6360016,9790816
29.72618866,-95.26486206,9791951
38.76139069,26.92916489,9791951
22.53520012,-97.66210175,9791963
-20.32113266,-40.14460373,9791963
49.44038391,1.051947951,9791963
31.6413269,121.2260132,9791963
46.57690048,31.13129997,9791975
-3.686407089,114.4217911,9791975
25.17599678,56.364048,9791987
-6.008202076,105.9592972,9791999
46.31445313,31.09113503,9792022
-24.13216019,-46.29315948,9792058
49.30424118,-123.0561905,9792058
22.33127594,113.9023743,9792345
34.47183609,133.454834,9792424
33.67290497,-7.645477772,9792448
-6.745216846,112.7125244,9792876
31.20938873,121.8184814,9793820
24.30050087,121.7570038,9795244
24.27739906,121.7570038,9795244
24.4178009,121.9309998,9795244
24.0368557,121.8594818,9795244
24.10608292,121.8134537,9795244
13.73273468,121.0347672,9795244
35.31749725,119.7148972,9796561
35.09822845,119.7205429,9796999
32.24227905,131.9093781,9797709
32.26066971,131.8768311,9797709
34.79280853,136.9585876,9797709
