imo,dwt
7365071,50826
7403237,65387
7422881,43728
7525451,46565
7700726,86864
7915412,74423
7926148,75569
7926150,40734
7926162,69304
7926174,75598
7929970,65738
8005068,62097
8007793,73609
8009571,74517
8015659,70912
8025161,44969
8110681,65402
8126393,51001
8128664,63671
8130681,44993
8200527,43352
8202018,92067
8204456,88151
8207812,60969
8307789,41093
8308147,42913
8309232,42842
8309294,41574
8309397,43925
8309402,43002
8309713,41649
8309830,40850
8313348,43467
8313362,43461
8313685,40269
8313702,42497
8316481,42245
8316601,64944
8316699,43003
8316704,41619
8318312,47698
8323903,42586
8420787,43713
8420799,43759
8420804,364768
8420892,41504
8501672,69755
8509387,41828
8512956,45295
8512982,45252
8515697,69497
8613815,64850
8614479,48320
8670681,56651
8672598,40569
8672603,40464
8672615,41380
8672627,41600
8672639,40571
8672653,42221
8672665,41108
8672677,41076
8672689,43714
8712647,43661
8716332,68377
8716708,69669
8800286,290160
8800315,68788
8801022,68788
8805169,65850
8806503,70424
8808367,68294
8812667,246732
8819225,68433
8821149,69703
8822480,46300
8833893,52600
8900476,69950
8900488,68676
8900517,77549
8900529,77499
8901676,94303
8901808,43665
8901810,43665
8901822,43685
8902424,289470
8902436,41337
8902462,41337
8902474,42264
8906834,42007
8906846,42025
8908765,42968
8908777,43003
8912297,96725
8912302,96772
8912314,43665
8913540,43469
8913552,41135
8914037,42692
8914051,44679
8915213,42469
8915249,48821
8915392,156183
8915407,156750
8915732,42203
8915976,69306
8918215,42276
8918227,42276
8918239,42276
8918277,47029
8918289,47062
8921420,42025
9000326,53680
9000352,263502
9000857,67119
9000986,285771
9000998,289470
9002544,46826
9002673,238818
9002738,306902
9003122,268132
9003184,42001
9004712,46899
9004786,277218
9007532,46998
9007544,46908
9008706,46956
9009152,45875
9011193,47002
9012252,266307
9014066,47069
9014078,47029
9015591,101652
9030943,242692
9030955,291435
9030967,291435
9030979,305668
9030981,305846
9032642,233592
9034925,97161
9035450,268008
9036442,289889
9036454,289889
9036791,73657
9036806,73350
9038438,263130
9038672,267906
9040895,66832
9041198,265816
9041461,48131
9042685,258079
9043720,265647
9044229,278258
9047051,69618
9047087,71535
9047740,50587
9048110,298624
9048122,298468
9048134,301389
9050230,267006
9050292,47574
9050395,73498
9051686,151439
9052343,250903
9053579,260995
9055113,42815
9056399,42488
9056818,150966
9057018,95625
9057446,69146
9060314,298338
9060326,295520
9060338,298445
9061564,69235
9061576,68220
9061875,69235
9061887,69235
9062544,120880
9065912,41260
9066708,69607
9070565,44621
9070711,43108
9070723,43125
9070735,43108
9070785,43246
9070797,43246
9071557,46580
9071569,46547
9071595,43108
9071765,44950
9072161,68636
9072185,68621
9072214,43596
9072226,43648
9073438,263237
9073983,45031
9074078,47053
9074195,149190
9074767,42529
9074793,42529
9074808,42529
9074810,42529
9074822,42529
9075321,43598
9075670,73350
9075682,73350
9075723,277047
9075735,73034
9077070,51633
9077082,55531
9077109,70728
9077240,70182
9077252,43980
9077305,44809
9077317,44821
9077329,135069
9077410,278157
9077898,70087
9077903,70114
9079119,50198
9079121,50198
9079145,70347
9079157,43731
9079169,43732
9080273,94274
9080637,73119
9081198,73222
9081801,50211
9082312,264971
9082350,260723
9082726,69071
9082738,45744
9082740,45731
9082752,45734
9082764,43568
9082881,75132
9082908,46637
9082922,70196
9083081,42174
9083093,288272
9083263,44389
9083275,46601
9083524,75265
9083964,275616
9084164,77447
9084190,246340
9084580,75275
9085352,281226
9085936,75473
9085948,75265
9086045,75473
9086930,74044
9086954,69091
9086966,45208
9086978,71250
9086980,71252
9087233,43188
9087295,149310
9087740,69073
9087752,69189
9088562,70213
9088639,45296
9088732,45518
9100073,50194
9100085,70136
9100097,43991
9100205,50383
9100396,45863
9101558,71747
9101637,43683
9102045,48218
9102057,48218
9102162,69043
9102332,47639
9102473,48139
9103128,46428
9103130,46604
9103178,45228
9104081,45712
9104108,71741
9104110,71550
9104407,45232
9104419,47574
9104421,42183
9104457,68591
9104469,68591
9104471,87996
9104550,45654
9104562,45621
9104574,45664
9104586,45455
9104603,45406
9105023,51880
9105035,55770
9105530,70293
9105578,70153
9106728,45216
9106730,45203
9107306,48041
9107318,48077
9107631,45792
9107667,45483
9107679,45496
9107681,70114
9108116,45693
9108257,72171
9108673,148663
9109354,46635
9109366,46640
9109378,46638
9109495,69925
9109902,45642
9110224,265278
9110365,43246
9110614,45347
9111589,43924
9111917,171846
9111929,45292
9111931,45320
9111943,45320
9112090,211485
9112911,48640
9113329,45194
9113410,73040
9113575,45513
9114139,43193
9114153,43222
9114579,91443
9114622,47639
9115004,45700
9115523,70153
9116553,45304
9116644,49052
9116656,49047
9116668,49016
9116670,49016
9116682,49061
9116694,49061
9117313,45950
9117624,42584
9117739,56801
9117741,56801
9117789,45647
9117923,73201
9118329,45194
9118410,46896
9118422,45139
9118434,45622
9118446,45665
9118678,72873
9118824,69121
9118848,69057
9119971,46664
9119983,46676
9119995,46678
9120059,70189
9120061,70108
9120334,66187
9120803,150393
9121285,48772
9121297,47016
9121730,47186
